,sample_id,mouse_id,strain,genotype,treatment,age,sex,organ,suborgan,sampletype,microbiome,passage,batch,prep,filename
Org_USI_P25_24mo_285,Org_USI_P25_24mo_285,NA,c57bl6,Lgr5,None,24,NA,SI,USI,Organoid,wt,P25,Organoid,HV,Org_USI_P25_24mo_285_merged.cov.gz
Org_USI_P28_24mo,Org_USI_P28_24mo,NA,c57bl6,Lgr5,None,24,NA,SI,USI,Organoid,wt,P28,Organoid,HV,Org_USI_P28_24mo_merged.cov.gz
Org_USI_P28_4mo,Org_USI_P28_4mo,NA,c57bl6,Lgr5,None,4,NA,SI,USI,Organoid,wt,P28,Organoid,HV,Org_USI_P28_4mo_merged.cov.gz
Org_USI_P3_24mo,Org_USI_P3_24mo,NA,c57bl6,Lgr5,None,24,NA,SI,USI,Organoid,wt,P3,Organoid,HV,Org_USI_P3_24mo_merged.cov.gz
Org_USI_P3_4mo,Org_USI_P3_4mo,NA,c57bl6,Lgr5,None,4,NA,SI,USI,Organoid,wt,P3,Organoid,HV,Org_USI_P3_4mo_merged.cov.gz
DM_9229,DM_9229,9229,129svev,ApcMin,DSS,22.4,M,COL,DCOL,normal,consortium_um149,NA,2023_07_03,PP,DM_9229_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_8228,DM_8228,8228,129svev,ApcMin,DSS,22.6,M,COL,DCOL,normal,consortium_um149,NA,2023_07_03,PP,DM_8228_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_9032,DM_9032,9032,129svev,ApcMin,DSS,22.6,F,COL,DCOL,normal,consortium_um149,NA,2023_07_03,PP,DM_9032_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_9089,DM_9089,9089,129svev,ApcMin,DSS,22.6,F,COL,DCOL,normal,consortium_um149,NA,2023_07_03,PP,DM_9089_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_9263,DM_9263,9263,129svev,ApcMin,DSS,19.6,M,COL,DCOL,normal,consortium_um149,NA,2023_07_03,PP,DM_9263_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_9299,DT_9299,9229,129svev,ApcMin,DSS,22.4,M,COL,DCOL,tumor,consortium_um149,NA,2023_07_03,PP,DT_9299_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_8228,DT_8228,8228,129svev,ApcMin,DSS,22.6,M,COL,DCOL,tumor,consortium_um149,NA,2023_07_03,PP,DT_8228_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_9032,DT_9032,9032,129svev,ApcMin,DSS,22.6,F,COL,DCOL,tumor,consortium_um149,NA,2023_07_03,PP,DT_9032_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_9089,DT_9089,9089,129svev,ApcMin,DSS,22.6,F,COL,DCOL,tumor,consortium_um149,NA,2023_07_03,PP,DT_9089_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_9263,DT_9263,9263,129svev,ApcMin,DSS,19.6,M,COL,DCOL,tumor,consortium_um149,NA,2023_07_03,PP,DT_9263_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_9264,DM_9264,9264,129svev,ApcMin,DSS,22.6,M,COL,DCOL,normal,gf,NA,2023_07_03,PP,DM_9264_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_8274,DM_8274,8274,129svev,ApcMin,DSS,21.3,F,COL,DCOL,normal,gf,NA,2023_07_03,PP,DM_8274_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_9259,DM_9259,9259,129svev,ApcMin,DSS,22.9,F,COL,DCOL,normal,gf,NA,2023_07_03,PP,DM_9259_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_7844,DT_7844,7844,129svev,ApcMin,DSS,20.7,M,COL,DCOL,tumor,consortium,NA,2023_07_03,PP,DT_7844_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_9001,DT_9001,9001,129svev,ApcMin,DSS,22.7,M,COL,DCOL,tumor,consortium,NA,2023_07_03,PP,DT_9001_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DT_9006,DT_9006,9006,129svev,ApcMin,DSS,22.7,M,COL,DCOL,tumor,consortium,NA,2023_07_03,PP,DT_9006_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_7844,DM_7844,7844,129svev,ApcMin,DSS,20.7,M,COL,DCOL,normal,consortium,NA,2023_07_03,PP,DM_7844_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_9001,DM_9001,9001,129svev,ApcMin,DSS,22.7,M,COL,DCOL,normal,consortium,NA,2023_07_03,PP,DM_9001_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DM_9006,DM_9006,9006,129svev,ApcMin,DSS,22.7,M,COL,DCOL,normal,consortium,NA,2023_07_03,PP,DM_9006_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DC_1005,DC_1005,1005,129svev,WT,None,12,M,COL,DCOL,normal,wt,NA,2023_08_27,PP,dcolon_1005_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DC_1006,DC_1006,1006,129svev,WT,None,12,M,COL,DCOL,normal,wt,NA,2023_08_27,PP,dcolon_1006_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DC_1007,DC_1007,1007,129svev,WT,None,12,M,COL,DCOL,normal,wt,NA,2023_08_27,PP,dcolon_1007_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DC_1008,DC_1008,1008,129svev,WT,None,12,M,COL,DCOL,normal,wt,NA,2023_08_27,PP,dcolon_1008_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DC_2003,DC_2003,2003,129svev,WT,None,12,F,COL,DCOL,normal,wt,NA,2023_08_27,PP,dcolon_2003_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
DC_2004,DC_2004,2004,129svev,WT,None,12,F,COL,DCOL,normal,wt,NA,2023_08_27,PP,dcolon_2004_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
LIV_1005,LIV_1005,1005,129svev,WT,None,12,M,LIV,LIV,normal,wt,NA,2023_08_27,PP,liver_1005_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
LIV_1006,LIV_1006,1006,129svev,WT,None,12,M,LIV,LIV,normal,wt,NA,2023_08_27,PP,liver_1006_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
LIV_1007,LIV_1007,1007,129svev,WT,None,12,M,LIV,LIV,normal,wt,NA,2023_08_27,PP,liver_1007_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
LIV_1008,LIV_1008,1008,129svev,WT,None,12,M,LIV,LIV,normal,wt,NA,2023_08_27,PP,liver_1008_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
LIV_2003,LIV_2003,2003,129svev,WT,None,12,F,LIV,LIV,normal,wt,NA,2023_08_27,PP,liver_2003_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
LIV_2004,LIV_2004,2004,129svev,WT,None,12,F,LIV,LIV,normal,wt,NA,2023_08_27,PP,liver_2004_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
PC_1005,PC_1005,1005,129svev,WT,None,12,M,COL,PCOL,normal,wt,NA,2023_08_27,PP,pcolon_1005_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
PC_1006,PC_1006,1006,129svev,WT,None,12,M,COL,PCOL,normal,wt,NA,2023_08_27,PP,pcolon_1006_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
PC_1007,PC_1007,1007,129svev,WT,None,12,M,COL,PCOL,normal,wt,NA,2023_08_27,PP,pcolon_1007_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
PC_1008,PC_1008,1008,129svev,WT,None,12,M,COL,PCOL,normal,wt,NA,2023_08_27,PP,pcolon_1008_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
PC_2003,PC_2003,2003,129svev,WT,None,12,F,COL,PCOL,normal,wt,NA,2023_08_27,PP,pcolon_2003_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
PC_2004,PC_2004,2004,129svev,WT,None,12,F,COL,PCOL,normal,wt,NA,2023_08_27,PP,pcolon_2004_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
SPL_1005,SPL_1005,1005,129svev,WT,None,12,M,SPL,SPL,normal,wt,NA,2023_08_27,PP,spleen_1005_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
SPL_1006,SPL_1006,1006,129svev,WT,None,12,M,SPL,SPL,normal,wt,NA,2023_08_27,PP,spleen_1006_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
SPL_1007,SPL_1007,1007,129svev,WT,None,12,M,SPL,SPL,normal,wt,NA,2023_08_27,PP,spleen_1007_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
SPL_1008,SPL_1008,1008,129svev,WT,None,12,M,SPL,SPL,normal,wt,NA,2023_08_27,PP,spleen_1008_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
SPL_2003,SPL_2003,2003,129svev,WT,None,12,F,SPL,SPL,normal,wt,NA,2023_08_27,PP,spleen_2003_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
SPL_2004,SPL_2004,2004,129svev,WT,None,12,F,SPL,SPL,normal,wt,NA,2023_08_27,PP,spleen_2004_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
